filename;N;numberofwordsused;lengthofresult;elapsedtime(s);;;;;;
10.500+50;500;486;500;3,99;;;97,2;;500;3,91
18.200+20;200;188;200;0,64;;;94;;400;2,182424466
20.300+30;300;289;300;1,48;;;96,33333333;;300;1,432469924
25.500+50;500;487;500;3,83;;;97,4;;200;0,655297836
35.200+20;200;188;200;0,64;;;94;;;
53.500+50;500;480;500;3,93;;;96;;;
55.300+30;300;289;300;1,39;;;96,33333333;;500;96,86666667
55.400+40;400;389;400;1,44;;;97,25;;400;96
58.300+30;300;290;300;1,43;;;96,66666667;;300;96,44444444
62.400+40;400;389;400;2,55;;;97,25;;200;93,83333333
68.400+40;400;374;400;2,56;;;93,5;;;
9.200+20;200;187;201;0,69;;;93,5;;;
;;;;;;;95,78611111;2,261890432;;
