filename;N;numberofwordsused;lengthofresult;elapsedtime(s);;;;;;
10.500+200;500;475;500;6,25;;;95;;500;6,198757728
18.200+80;200;186;200;0,99;;;93;;400;3,991360744
20.300+120;300;283;300;2,28;;;94,33333333;;300;2,255734444
25.500+200;500;463;500;6,16;;;92,6;;200;1,014903943
35.200+80;200;184;200;1,01;;;92;;;
53.500+200;500;491;500;6,19;;;98,2;;500;95,26666667
55.300+120;300;279;300;2,24;;;93;;400;93,41666667
55.400+160;400;381;400;3,92;;;95,25;;300;93,55555556
58.300+120;300;280;300;2,25;;;93,33333333;;200;93,5
62.400+160;400;382;400;3,99;;;95,5;;;
68.400+160;400;358;400;4,06;;;89,5;;;
9.200+80;200;191;200;1,05;;;95,5;;;
;;;;;;;93,93472222;4,451410108;;
